,ranking,isIp,valid,urlLen,is@,isredirect,haveDash,domainLen,label,notlabel
381,10000000,0,0,73,0,0,0,26,1,0
382,293599,0,1,46,0,0,0,25,0,1
383,10000000,0,0,121,0,0,0,20,1,0
384,4537,0,1,38,0,0,0,12,0,1
385,4,0,1,33,0,0,0,16,0,1
386,106001,0,0,40,0,0,0,14,0,1
387,10000000,0,0,90,0,0,1,36,1,0
388,10000000,0,1,156,0,0,0,17,1,0
389,10000000,0,0,120,0,0,0,11,1,0
390,10000000,0,1,85,0,0,0,9,1,0
391,14969,0,1,27,0,0,0,14,0,1
392,23191,0,0,48,0,0,0,20,0,1
393,10000000,0,1,33,0,0,0,14,0,1
394,348749,0,0,27,0,0,0,11,0,1
395,10000000,0,1,93,0,0,0,15,1,0
396,10000000,0,1,245,0,0,0,15,1,0
397,314702,0,1,30,0,0,0,18,0,1
398,23343,0,1,32,0,0,0,13,0,1
399,10000000,0,0,24,0,0,0,17,1,0
400,10000000,0,1,189,0,0,0,14,1,0
401,10000000,0,0,210,0,0,0,18,1,0
402,9550,0,1,50,0,0,0,17,0,1
403,10000000,0,1,53,0,0,0,14,1,0
404,10000000,0,0,17,0,0,0,16,1,0
405,10000000,0,0,223,0,0,0,23,1,0
406,55,0,0,42,0,0,0,14,0,1
407,10000000,0,1,60,0,0,1,20,0,1
408,313605,0,0,45,0,0,1,13,0,1
409,10000000,0,1,208,0,0,0,15,1,0
410,910603,0,1,31,0,0,0,15,0,1
411,10000000,0,0,84,0,0,1,39,1,0
412,10000000,0,1,23,0,0,0,14,0,1
413,10000000,0,0,90,0,0,1,36,1,0
414,47310,0,1,29,0,0,0,16,0,1
415,10000000,0,0,43,0,0,0,14,1,0
416,13082,0,0,32,0,0,0,20,0,1
417,10000000,0,1,45,0,0,0,28,0,1
418,10000000,0,1,17,0,0,0,9,1,0
419,10000000,0,1,65,0,0,0,24,1,0
420,10000000,0,1,100,0,0,0,17,1,0
421,10000000,0,1,27,0,0,0,17,0,1
422,10000000,0,0,33,0,0,0,17,1,0
423,10000000,0,1,118,0,0,0,11,1,0
424,107953,0,1,26,0,0,0,25,1,0
425,10087,0,1,40,0,0,0,14,0,1
426,10000000,0,1,102,0,0,0,26,1,0
427,70140,0,0,22,0,0,0,14,0,1
428,10000000,0,0,198,0,0,1,185,1,0
429,10000000,0,0,141,0,0,0,16,1,0
430,265787,0,0,45,0,0,0,19,0,1
431,10000000,0,0,104,0,0,0,32,1,0
432,10000000,0,0,62,0,0,0,29,1,0
433,550399,0,1,51,0,0,0,26,0,1
434,38580,0,1,107,0,0,1,31,1,0
435,8792,0,0,31,0,0,0,20,0,1
436,10000000,0,1,27,0,0,0,20,1,0
437,483,0,1,20,0,0,0,10,0,1
438,2547,0,1,42,0,0,0,17,0,1
439,10000000,0,1,15,0,0,0,10,0,1
440,10000000,0,0,76,0,0,0,27,1,0
441,10000000,0,0,34,0,0,0,16,1,0
442,10000000,0,1,30,0,0,0,19,1,0
443,8419,0,1,34,0,0,0,15,0,1
444,10000000,0,1,89,0,0,0,15,1,0
445,10000000,0,1,41,0,0,0,19,1,0
446,16422,0,0,30,0,0,0,17,0,1
447,29319,0,1,43,0,0,0,31,1,0
448,14969,0,1,27,0,0,0,14,0,1
449,133305,0,1,18,0,0,0,17,1,0
450,129447,0,0,67,0,0,0,17,0,1
451,10000000,0,0,69,0,0,1,50,0,1
452,10000000,0,0,180,0,0,0,139,1,0
453,1267,0,1,27,0,0,0,18,0,1
454,358,0,1,108,0,0,0,23,0,1
455,576,0,1,53,0,0,0,11,0,1
456,14969,0,1,27,0,0,0,14,0,1
457,10000000,0,0,147,0,0,1,113,1,0
458,4570,0,1,343,0,0,1,44,1,0
459,10000000,0,1,22,0,0,0,11,0,1
460,10000000,0,1,55,0,0,0,21,1,0
461,10000000,0,0,55,0,0,1,23,1,0
462,10000000,0,0,25,0,0,0,24,1,0
463,51908,0,1,22,0,0,0,21,1,0
464,2514,0,0,40,0,0,0,16,0,1
465,214723,0,1,39,0,0,0,20,0,1
466,10000000,0,0,51,0,0,0,20,1,0
467,10000000,0,0,67,0,0,0,33,1,0
468,10000000,0,1,31,0,0,0,19,0,1
469,26570,0,0,25,0,0,0,18,0,1
470,44061,0,1,33,0,0,0,13,1,0
471,181,0,0,51,0,0,0,18,0,1
472,52477,0,0,71,0,0,0,29,1,0
473,362028,0,1,78,0,0,1,31,1,0
474,6,0,1,42,0,0,0,16,0,1
475,10000000,0,0,24,0,0,0,14,0,1
476,10000000,0,0,80,1,0,0,28,1,0
477,79,0,1,31,0,0,0,20,0,1
478,10000000,0,1,67,0,0,0,18,1,0
479,10000000,0,0,82,0,0,1,39,1,0
480,14969,0,1,27,0,0,0,14,0,1
481,110229,0,0,17,0,0,0,9,0,1
482,10000000,0,1,34,0,0,0,17,1,0
483,10000000,0,1,55,0,0,0,18,1,0
484,14969,0,1,27,0,0,0,14,0,1
485,29,0,1,33,0,0,0,21,0,1
486,10000000,0,0,42,0,0,1,30,0,1
487,10000000,0,0,69,0,0,0,20,1,0
488,44061,0,1,33,0,0,0,13,1,0
489,5956,0,0,21,0,0,0,15,0,1
490,10000000,0,0,47,0,0,0,18,1,0
491,4,0,1,38,0,0,0,16,0,1
492,168,0,1,35,0,0,0,24,0,1
493,278862,0,1,46,0,0,0,19,0,1
494,10000000,0,0,188,0,0,0,13,1,0
495,10000000,0,0,223,0,0,1,16,1,0
496,6,0,1,29,0,0,0,16,0,1
497,10000000,0,0,197,0,0,1,26,1,0
498,550,0,0,32,0,0,1,23,0,1
499,63602,0,0,20,0,0,0,14,0,1
500,14969,0,1,27,0,0,0,14,0,1
501,10000000,0,0,122,0,0,1,26,1,0
502,996,0,1,31,0,0,0,12,0,1
